PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,15:03:48.63,1,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Murphy, Quinn",1000527191,Left,MAI_BLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.56252,-0.981848,2.510285,2096.031053,144.550632,10:45,5.89773,-2.22571,6.18733,-19.1143,17.75942,-11.81068,3.39736,-0.89065,79.11166,-4.624044,0.380913,0.437049,,,,,,,,,,,,6.71433,9.78154,2.04157,50,5.81362,-5.02343,-125.66664,-2.67126,10.74933,25.19219,-16.51432,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,59b92050-2d34-11f1-91e0-ebe7af9b06de,86.2431,,,7.45085,,,,,,,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:03:48.63,2026-03-31T15:03:48.6310000-04:00,2026-03-31T19:03:48.6310000Z,,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,8f20d864-e4e9-4a02-926e-78afc70ae40c,54.30833,-126.52737,12.5961,5.89525,-2.10701,-8.25716,2.21948,-5.3907,5.37467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,15:04:27.23,1,2,"Burnham, Jacob",831497,Left,BOC_EAG,"Murphy, Quinn",1000527191,Left,MAI_BLA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.11786,-0.670755,3.475664,1397.226589,124.087608,10:15,5.67035,-1.9804,6.34596,-32.69659,9.81528,-12.66603,2.32701,0.16756,74.02534,-6.769947,1.186501,0.469274,,,,,,,,,,,,7.47528,5.68067,1.73333,50,5.60611,-6.61988,-116.37654,-2.28955,10.33836,20.11247,-24.31767,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,70c62860-2d34-11f1-91e0-ebe7af9b06de,80.32077,,,6.09251,,,,,,,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:04:27.23,2026-03-31T15:04:27.2360000-04:00,2026-03-31T19:04:27.2360000Z,,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,5172fba4-6b5e-4975-bad3-2b36e89e968a,54.15344,-117.09215,10.05624,5.67218,-1.42432,-12.15884,1.97541,-6.98772,5.16918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,15:04:41.93,1,3,"Burnham, Jacob",831497,Left,BOC_EAG,"Murphy, Quinn",1000527191,Left,MAI_BLA,Undefined,1,Top,0,0,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,81.1049,0.75272,3.722178,1618.101989,98.753106,9:15,5.59619,-2.0634,6.42451,-37.72321,3.99776,-17.37438,3.14598,-0.08509,74.1973,-6.292409,0.57834,0.464888,79.50639,16.649978,-24.052436,3754.832033,95.59995,20.69555,-54.41131,201.26227,173.47144,-34.888226,2.338601,10.14989,2.25925,1.80542,50,5.63289,-7.04469,-117.73929,0.45518,14.22899,22.62795,-29.00683,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,79903800-2d34-11f1-91e0-ebe7af9b06de,81.07849,20.71176,,6.9076,,,,1.15342,3.1043,0.09079,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:04:41.93,2026-03-31T15:04:41.9380000-04:00,2026-03-31T19:04:41.9380000Z,LineDrive,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,5b6e5157-d7dc-410b-ad5e-6e93d78d29b0,54.07589,-118.52003,11.31398,5.59992,1.45602,-14.50342,2.05695,-7.53564,7.11449,113.436403,1.15342,102.02023,-19.50863,3.75647,-0.73761,0.11787,-0.01769,0.00219,-0.00014,3.1043,33.411,-16.82218,0.99974,-0.08998,0.00681,0.00177,-0.00024,-1E-05,0.09079,-45.53324,-4.33686,2.14708,-0.66667,0.15996,-0.03073,0.00404,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-31,15:05:12.79,2,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Stevens, Julian",1000253292,Right,MAI_BLA,Undefined,1,Top,0,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,75.71335,0.213108,2.210057,2445.873282,319.722645,4:45,5.71722,-2.39846,5.53759,-53.84219,-4.58701,5.12646,1.42971,0.09542,70.13326,-9.560015,3.125133,0.505123,22.60434,-46.22249,41.878109,,,,,4.88325,4.88325,13.613804,0.072169,-2.02205,-2.06079,2.20309,50,5.69922,-4.42879,-109.98135,-1.31648,-2.48084,19.19902,-34.7024,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,8beab480-2d34-11f1-8528-2919e47e1546,74.62026,1.77073,,5.58009,,,,3.4827,1.77073,0.01673,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:05:12.79,2026-03-31T15:05:12.7920000-04:00,2026-03-31T19:05:12.7920000Z,GroundBall,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,6287ba1b-3334-4e29-85c4-b6a8ddd133e4,54.96458,-110.8446,9.59951,5.72333,0.24387,-17.3512,2.39972,-4.31724,-1.24042,,3.47774,17.50556,,,,,,,,1.77768,-24.53639,,,,,,,,0.01228,15.69477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-03-31,15:05:56.75,3,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Carpenter, Troy",1000239627,Right,MAI_BLA,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,1,,79.30637,-0.159963,4.054639,1488.751592,107.317712,9:30,5.59809,-2.3367,6.24688,-37.51333,6.64087,-16.58131,2.32408,0.0273,72.36032,-7.155185,1.065156,0.478253,105.40455,5.429777,-30.894066,4188.009985,,,,92.37491,87.52307,-33.050895,0.656327,9.85918,3.89866,2.04296,50,5.56764,-7.56878,-115.00821,-1.40261,13.128,22.49062,-26.98277,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,a6180f60-2d34-11f1-8528-2919e47e1546,78.81281,4.23533,,6.94606,,,,2.9428,2.48625,0.0672,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:05:56.75,2026-03-31T15:05:56.7580000-04:00,2026-03-31T19:05:56.7580000Z,GroundBall,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,f6d4a6cd-33d1-4a50-9d5e-15438ce73f9e,54.25303,-115.83693,11.24531,5.60101,-0.40836,-13.49138,2.33076,-8.05252,6.564,53.768829,3.01152,130.64037,-26.44152,,,,,,,2.55809,13.13046,-26.0956,,,,,,,0.08706,-79.44487,3.84917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-31,15:06:36.06,4,1,"Burnham, Jacob",831497,Left,BOC_EAG,"St. Denis, Hunter",1000341731,Right,MAI_BLA,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.07112,0.777229,1.606163,2477.449002,322.818965,4:45,5.68047,-2.25199,5.71823,-56.25101,-6.82079,6.52048,1.71722,-0.21207,69.04108,-9.528187,2.774586,0.50602,,,,,,,,,,,,-2.76811,-3.17358,2.11369,50,5.71112,-3.33762,-110.31044,-0.30885,-3.34465,23.17168,-36.00864,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,bd945400-2d34-11f1-8528-2919e47e1546,74.48806,,,7.03004,,,,,,,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:06:36.06,2026-03-31T15:06:36.0680000-04:00,2026-03-31T19:06:36.0680000Z,,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,d1d3a026-8f56-465a-bcab-bd1fe23e42d6,54.78017,-111.31003,11.58584,5.69094,1.2445,-18.00432,2.25456,-3.19334,-1.67232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,15:06:52.26,4,2,"Burnham, Jacob",831497,Left,BOC_EAG,"St. Denis, Hunter",1000341731,Right,MAI_BLA,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,75.17112,2.567579,1.938473,2578.307395,321.761431,4:45,5.70614,-2.39388,5.72794,-59.24759,-9.17457,8.49292,3.1631,0.11993,68.79905,-8.267755,3.457234,0.5093,94.19474,29.86317,14.388505,4186.307633,103.15275,55.98896,38.20345,316.95986,308.17766,32.967665,4.370583,-3.76614,-5.02721,2.22672,50,5.88367,-3.99675,-109.06508,3.02724,-4.50506,20.41788,-38.1876,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,c73366e0-2d34-11f1-8528-2919e47e1546,74.00838,69.76986,,6.37207,,,,1.55298,3.23123,-0.10241,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:06:52.26,2026-03-31T15:06:52.2620000-04:00,2026-03-31T19:06:52.2620000Z,FlyBall,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,96bb671b-6894-48f8-8ed8-6f8529a24d73,54.77391,-109.95517,10.20894,5.71542,4.69197,-19.0938,2.39667,-3.80036,-2.25253,230.247492,1.55238,116.06321,-26.45162,6.39517,-1.56061,0.39398,-0.08306,0.01065,-0.00057,3.2318,68.77814,-20.0491,1.36304,-0.05619,-0.05735,0.01953,-0.00227,8E-05,-0.10273,29.78173,7.14562,-2.66765,0.75471,-0.18558,0.0353,-0.00403,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-31,15:07:31.01,5,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Rasmussen, Brody",1000250740,Right,MAI_BLA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.82841,1.569096,2.681956,1359.977013,107.158134,9:30,5.67335,-2.36989,6.43652,-37.03089,6.03477,-15.09442,4.03135,-1.16132,72.84151,-5.373807,-0.051995,0.47232,,,,,,,,,,,,8.60418,3.14382,2.18535,50,5.76857,-4.88933,-115.91818,2.12819,11.67741,22.18271,-27.90734,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,de5137d0-2d34-11f1-8528-2919e47e1546,79.80268,,,6.9869,,,,,,,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:07:31.01,2026-03-31T15:07:31.0160000-04:00,2026-03-31T19:07:31.0160000Z,,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,59d3bfba-e35c-47dc-aa9e-32af95565f32,54.0618,-116.69287,11.09136,5.67723,3.10281,-13.95367,2.36322,-5.29715,5.8387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,15:07:45.65,5,2,"Burnham, Jacob",831497,Left,BOC_EAG,"Rasmussen, Brody",1000250740,Right,MAI_BLA,Undefined,1,Top,1,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.74097,1.052776,4.054458,1399.361349,89.606296,9:00,5.60941,-2.43939,6.43768,-43.19447,1.3826,-18.10926,2.97986,-0.21641,71.624,-7.010085,0.778109,0.480537,76.25734,72.079961,71.570366,4538.172365,-11.60325,91.7876,109.38629,140.16684,50.9947,96.903985,5.35269,10.69111,0.8435,2.15868,50,5.66521,-7.46379,-114.19197,0.86986,13.99666,22.69747,-31.06973,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,e703a0c0-2d34-11f1-8528-2919e47e1546,78.43812,125.37101,,7.11697,,,,1.11111,3.02857,0.21671,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:07:45.65,2026-03-31T15:07:45.6520000-04:00,2026-03-31T19:07:45.6520000Z,Popup,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,011f624e-1fb3-4828-9442-84d61288a15e,54.06217,-114.99656,11.34874,5.61486,1.97123,-15.53487,2.43205,-7.95995,6.99833,198.837267,1.10532,10.95756,-10.53498,3.29894,-0.38189,-0.12611,0.06098,-0.00959,0.00053,3.0363,106.23409,-28.21785,2.09745,0.64735,-0.48778,0.12776,-0.01593,0.00078,0.22802,32.43854,-0.15826,-1.45445,0.87623,-0.28126,0.04779,-0.00389,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-03-31,15:08:07.13,5,3,"Burnham, Jacob",831497,Left,BOC_EAG,"Rasmussen, Brody",1000250740,Right,MAI_BLA,Undefined,1,Top,1,1,1,Slider,Curveball,InPlay,Undefined,FlyBall,Sacrifice,1,1,,74.85364,0.809421,2.078715,2414.352162,295.209274,3:45,5.6485,-2.36003,5.68688,-52.88097,-2.55823,8.74402,1.99673,0.30697,68.95785,-8.849983,3.64247,0.510568,92.88632,42.766355,-29.550195,3883.42462,91.66123,97.79451,-60.8124,281.77359,241.22068,-39.289399,5.831684,-3.89087,-1.14461,2.17937,50,5.68311,-4.25484,-108.69693,-0.09917,-4.64226,19.53937,-33.53971,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260331-HarringtonVillage-1,f3d4e0c0-2d34-11f1-8528-2919e47e1546,73.82453,121.19985,,5.89578,,,,2.38233,2.08062,-0.15382,627d9ed7-b483-4f20-be95-c4ef498f54ab,2026-03-31,19:08:07.13,2026-03-31T15:08:07.1360000-04:00,2026-03-31T19:08:07.1360000Z,FlyBall,v3,227,471344,16389,"Roossien, Jace",831501,Right,BOC_EAG,ccd04662-79be-40b2-ade3-e56ba7e94429,54.81423,-109.55892,9.76969,5.65485,1.38045,-16.76986,2.36256,-4.05004,-2.32113,162.684835,2.38909,86.87003,-25.98041,6.88913,-1.18149,0.08862,0.00785,-0.00198,0.0001,2.07341,92.62202,-20.41137,1.01624,-0.01079,-0.03097,0.01127,-0.00172,9E-05,-0.15598,-49.28715,7.33254,-1.24484,0.07443,0.02642,-0.00755,0.00078,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
